func,classification
function,data cleaning
paste0,import
gsub,data cleaning
if,setup
is.null,data cleaning
return,data cleaning
list,data cleaning
tibble,data cleaning
as_tibble,import
tibble,data cleaning
as_tibble,import
tibble,data cleaning
as_tibble,import
tibble,data cleaning
as_tibble,import
dplyr,data cleaning
filter,data cleaning
%in%,data cleaning
iconv,data cleaning
tibble,data cleaning
tibble,data cleaning
if,setup
%in%,data cleaning
names,data cleaning
purrr,data cleaning
dplyr,data cleaning
filter,data cleaning
dplyr,data cleaning
group_by,data cleaning
dplyr,data cleaning
summarise,data cleaning
merge,data cleaning
dplyr,data cleaning
select,data cleaning
dplyr,data cleaning
rename,data cleaning
tibble,data cleaning
tibble,data cleaning
if,setup
&&,data cleaning
nrow,data cleaning
%in%,data cleaning
names,data cleaning
purrr,data cleaning
dplyr,data cleaning
filter,data cleaning
dplyr,data cleaning
group_by,data cleaning
dplyr,data cleaning
summarise,data cleaning
merge,data cleaning
dplyr,data cleaning
select,data cleaning
dplyr,data cleaning
rename,data cleaning
list,data cleaning
function,data cleaning
paste0,import
gsub,data cleaning
gsub,data cleaning
tibble,data cleaning
as_tibble,import
dplyr,data cleaning
filter,data cleaning
function,data cleaning
dplyr,data cleaning
filter,data cleaning
%in%,data cleaning
iconv,data cleaning
unique,data cleaning
if,setup
nrow,data cleaning
if,setup
%in%,data cleaning
names,data cleaning
dplyr,data cleaning
mutate,data cleaning
purrr,data cleaning
map,data cleaning
dplyr,data cleaning
mutate,data cleaning
purrr,data cleaning
map,data cleaning
dplyr,data cleaning
filter,data cleaning
if,setup
nrow,data cleaning
dplyr,data cleaning
dplyr,data cleaning
mutate,data cleaning
strsplit,data cleaning
dplyr,data cleaning
select,data cleaning
dplyr,data cleaning
mutate,data cleaning
strsplit,data cleaning
as.character,data cleaning
dplyr,data cleaning
mutate,data cleaning
strsplit,data cleaning
as.character,data cleaning
tidyr,data cleaning
dplyr,data cleaning
mutate,data cleaning
lubridate,data cleaning
paste,data cleaning
dplyr,data cleaning
select,data cleaning
return,data cleaning
